rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
474,Tony Bradley,C,IND,28.6,,,0.547,0.744,0.1,4.1,2.9,0.6,0.2,0.2,0.5
475,Myron Gardner,,MIA,25.3,262,1089,0.480,0.731,0.6,3.6,2.7,1.0,0.4,0.2,0.4
476,Luke Travers,SF,CLE,25.0,381,1019,0.250,1.000,0.1,2.3,2.0,0.8,0.6,0.3,0.3
477,Riley Minix,,CLE,25.9,,,0.609,1.000,0.4,3.9,0.7,0.6,0.2,0.1,0.3
478,Jamir Watkins,SG/SF,WAS,25.2,207,1107,0.446,0.695,0.9,7.4,3.9,1.3,1.1,0.5,0.8
479,Tyrese Proctor,,CLE,22.4,249,1093,0.413,0.889,0.9,5.4,1.3,1.5,0.5,0.0,0.8
480,Elijah Harkless,SG,DET,26.6,228,1103,0.335,0.766,0.8,6.8,2.0,2.9,1.2,0.2,1.0
481,Hunter Dickinson,,NO,25.8,274,1084,0.357,1.000,0.0,2.4,1.0,0.4,0.2,0.4,0.6
482,Taelon Peter,,SA,24.5,221,1104,0.380,0.625,1.1,4.5,1.6,1.1,0.7,0.1,0.7
483,Amari Williams,,BOS,24.6,350,1037,0.500,0.714,0.0,1.4,1.8,0.5,0.1,0.5,0.5
484,Brooks Barnhizer,,OKC,24.5,324,1056,0.380,0.700,0.2,1.7,2.0,0.6,0.3,0.1,0.3
485,Nigel Hayes,,MIL,31.7,,,0.349,0.500,0.1,1.4,1.3,0.3,0.3,0.0,0.3
485,Nigel Hayes,,MIL,31.7,,,0.000,0.500,0.0,0.3,1.0,0.0,0.3,0.3,0.3
486,Mark Sears,,MIL,24.5,247,1093,0.462,0.750,0.6,3.1,0.3,0.3,0.0,0.0,0.6
487,Chris Mañon,,LAL,24.7,327,1051,0.333,0.750,0.0,0.8,1.1,0.3,0.6,0.2,0.1
488,Miles Kelly,,DAL,23.6,233,1100,0.364,1.000,0.7,3.1,1.7,0.9,0.3,0.1,0.4
489,Hunter Sallis,,PHI,23.4,305,1069,0.600,0.500,0.0,1.0,0.1,0.6,0.0,0.1,0.7
490,Mohamed Diawara,,NY,21.3,220,1104,0.423,0.750,0.7,3.6,1.4,0.8,0.2,0.1,0.4
491,Sharife Cooper,PG,WAS,25.2,230,1102,0.514,0.833,0.7,8.1,2.1,3.0,0.4,0.1,1.5
492,Tyson Etienne,PG,BKN,27.0,,,0.400,0.833,1.8,7.9,1.1,1.7,0.5,0.0,0.7
493,Jahmyl Telfort,,LAC,,,,0.000,0.250,0.0,0.1,0.4,0.1,0.1,0.0,0.1
494,Malik Beasley,SG/SF,DET,29.8,662,673,,,,,,,,,
495,Daniel Theis,C,NO,34.4,631,784,,,,,,,,,
496,Chimezie Metu,PF/C,FA,29.4,358,1029,,,,,,,,,
497,Gary Harris,SG/SF,DET,32.0,573,877,0.442,0.889,0.6,2.7,1.3,1.1,0.6,0.2,0.4
498,Trey Lyles,PF/C,MIN,30.8,530,918,,,,,,,,,
499,Reggie Jackson,PG/SG,PHI,36.4,597,851,,,,,,,,,
500,Chris Duarte,SG,CHI,29.2,732,577,,,,,,,,,
501,Juan Nunez,PG,SA,22.2,576,876,,,,,,,,,
502,PJ Hall,C,CHA,24.5,541,902,0.508,0.793,0.2,4.5,3.9,0.5,0.2,0.5,0.8
503,Xavier Tillman Sr.,PF/C,POR,27.6,742,574,0.435,0.250,0.1,1.5,1.4,0.4,0.3,0.2,0.3
504,Kobe Bufkin,PG/SG,NO,22.9,389,1016,0.300,0.917,0.3,2.9,0.8,0.6,0.1,0.2,0.3
505,KJ Simpson,PG,DEN,24.1,613,831,0.343,0.611,0.6,4.6,1.9,2.1,0.8,0.0,1.3
506,Kyle Anderson,PF/C,TOR,33.0,682,614,0.530,0.706,0.1,6.2,3.5,2.9,1.0,0.6,0.9
507,Kevon Looney,C,LAL,30.6,753,568,0.417,0.700,0.1,2.8,5.6,1.6,0.4,0.5,0.4
508,Jalen Hood-Schifino,SG/SF,PHI,23.2,724,581,,,,,,,,,
509,Dario Saric,C,DET,32.4,605,836,0.167,1.000,0.2,1.0,1.2,0.4,0.0,0.0,0.4
510,Nick Smith Jr.,PG/SG,LAL,22.4,615,829,0.435,0.733,1.1,6.2,0.8,1.0,0.3,0.1,0.7
511,Jae'Sean Tate,SF/PF,HOU,30.8,743,574,0.514,0.636,0.2,2.8,1.6,0.5,0.2,0.1,0.3
512,Cam Christie,SG/SF,LAC,21.1,400,1011,0.381,0.760,0.2,2.8,1.4,0.6,0.3,0.1,0.4
513,Talen Horton-Tucker,SG/SF,CHI,25.8,668,643,,,,,,,,,
514,Mike Conley,PG,BOS,38.9,679,622,0.335,0.900,1.0,4.5,1.7,2.9,0.6,0.3,0.6
515,Al Horford,PF/C,GS,40.2,684,612,0.425,0.846,1.6,8.3,4.9,2.6,0.7,1.1,0.9
516,Mo Bamba,C,UTA,28.3,709,587,0.455,0.000,0.0,2.5,5.5,0.3,0.0,0.8,0.5
517,Svi Mykhailiuk,SG/SF,UTA,29.2,428,1005,0.478,0.893,2.0,9.4,2.5,1.9,0.5,0.1,0.8
518,Gary Payton II,SG,GS,33.8,748,570,0.583,0.650,0.5,7.5,3.6,1.7,0.9,0.3,0.8
519,Christian Koloko,C,NO,26.2,278,1083,0.419,0.667,0.0,2.7,3.0,0.7,0.5,0.9,0.6
520,Dorian Finney-Smith,SF/PF,CHA,33.3,670,634,0.333,0.889,0.7,3.3,2.5,1.0,0.4,0.2,0.6
521,Tyler Smith,PF/C,DAL,21.8,540,903,,,,,,,,,
522,Trey Alexander,SG,UTA,24.3,198,1109,0.514,0.600,0.7,5.2,1.2,1.0,0.7,0.2,0.3
523,Drew Eubanks,C,SAC,29.6,706,588,0.596,0.561,0.0,5.2,3.0,0.5,0.4,0.6,0.7
524,Emoni Bates,SG/SF,CLE,22.6,738,574,,,,,,,,,
525,Nicolas Batum,SF/PF,LAC,37.7,559,886,0.403,0.818,1.2,4.0,2.5,0.9,0.6,0.3,0.5
526,Jamaree Bouyea,PG,PHO,27.2,265,1089,0.458,0.686,0.5,5.7,1.8,1.8,0.6,0.3,0.7
527,Josh Richardson,PG/SG,MIA,33.0,607,835,,,,,,,,,
528,Cody Martin,SG/SF/PF,IND,30.9,574,876,0.200,0.500,0.0,1.8,3.5,0.5,1.0,0.5,1.0
529,Dillon Jones,SF/PF,NY,24.8,561,885,0.222,1.000,0.1,1.3,1.0,0.6,0.4,0.0,0.0
530,Bojan Bogdanovic,SF/PF,BKN,37.4,714,585,,,,,,,,,
531,Josh Okogie,SG/SF,UTA,28.0,676,625,0.424,0.594,0.8,4.5,2.6,0.9,0.8,0.2,0.5
532,Jalen McDaniels,SF/PF,NO,28.6,689,604,,,,,,,,,
533,Devonte' Graham,PG/SG,POR,31.5,544,899,,,,,,,,,
534,Kai Jones,C,DAL,25.6,580,872,,,,,,,,,
535,Amir Coffey,SF/PF,PHO,29.2,596,852,0.487,0.786,0.4,3.2,1.2,0.6,0.2,0.1,0.2
536,Christian Wood,PF/C,LAL,30.9,707,588,,,,,,,,,
537,Vasilije Micic,PG/SG,MIL,32.6,674,627,,,,,,,,,
538,Pat Connaughton,SG/SF,CHA,33.7,718,584,0.447,0.650,0.5,2.6,1.5,0.4,0.3,0.0,0.3
539,Bryce McGowens,PG/SG,NO,23.8,604,837,0.481,0.779,0.9,8.1,2.1,1.5,0.6,0.2,0.4
540,Seth Curry,SG,GS,36.0,556,889,0.490,0.917,1.2,7.1,1.2,1.0,0.3,0.0,0.2
541,Gabe Vincent,PG/SG,ATL,30.2,744,574,0.352,0.870,1.1,4.4,1.0,1.4,0.5,0.1,0.5
542,Kevin McCullar Jr.,SF/PF,NY,25.5,426,1005,0.426,0.400,0.4,2.4,1.3,1.0,0.4,0.0,0.6
543,David Roddy,SF,DEN,25.4,686,607,0.500,1.000,0.6,8.0,4.2,0.8,0.8,0.2,0.4
544,Bismack Biyombo,C,SA,34.0,450,992,0.600,0.714,0.0,0.9,1.0,0.2,0.2,0.1,0.3
546,Doug McDermott,SF/PF,SAC,34.7,264,1089,0.388,0.889,1.7,5.7,1.3,0.8,0.2,0.1,0.4
547,Juan Toscano-Anderson,SF,FA,33.4,346,1040,,,,,,,,,
548,Zeke Nnaji,PF/C,DEN,25.6,536,911,0.470,0.773,0.3,3.7,2.6,0.6,0.3,0.5,0.5
549,Nerlens Noel,C,FA,32.4,480,980,,,,,,,,,
550,Kenrich Williams,PF,OKC,31.8,761,545,0.473,0.635,0.9,6.5,3.3,1.4,0.6,0.1,0.8
551,Dwight Powell,C,DAL,35.1,542,902,0.644,0.696,0.0,3.3,4.1,1.1,0.5,0.3,0.7
552,Jevon Carter,PG/SG,ORL,31.0,711,586,0.401,0.789,1.5,6.4,1.7,1.6,0.8,0.2,0.7
553,Enrique Freeman,PF,MIN,26.1,,,0.500,0.750,0.5,3.3,2.5,0.5,0.5,0.8,0.5
554,Ömer Yurtseven,C,GS,28.2,755,567,0.423,0.667,0.0,3.8,3.3,0.9,0.2,0.1,1.0
555,Jalen Slawson,SF,IND,26.9,730,578,0.442,0.706,1.2,7.3,4.4,2.8,1.5,1.1,1.3
556,Delon Wright,PG/SG,NY,34.4,725,581,,,,,,,,,
557,Blake Wesley,PG/SG,POR,23.5,583,870,0.452,0.553,0.3,4.8,1.3,2.0,0.5,0.2,1.0
558,Isaiah Livers,SF/PF,PHO,28.1,739,574,0.344,0.750,0.3,1.8,1.7,0.6,0.4,0.2,0.3
559,Jaden Springer,SG,NO,23.9,659,675,,,,,,,,,
560,Jalen Bridges,SF,PHO,25.3,280,1081,,,,,,,,,
561,Kenyon Martin Jr.,SF/PF,UTA,25.7,717,584,,,,,,,,,
562,Simone Fontecchio,SF/PF,MIA,30.7,759,557,0.412,0.843,1.8,8.5,3.0,1.4,0.5,0.1,0.7
563,Keshad Johnson,PF,MIA,25.2,307,1068,0.490,0.724,0.4,4.3,2.0,0.3,0.5,0.3,0.4
564,Tristen Newton,PG,HOU,25.4,373,1022,0.444,0.667,2.0,12.0,3.0,0.0,1.0,0.0,0.0
565,Johnny Davis,SG/SF,MEM,24.5,690,603,,,,,,,,,
566,David Jones,SF,SA,24.8,562,884,0.520,0.500,0.3,2.9,1.2,1.6,0.5,0.1,0.5
568,Charles Bassey,C,GS,25.8,740,574,0.660,0.700,0.0,5.8,4.4,0.5,0.3,0.8,0.5
569,Ulrich Chomche,C,TOR,20.7,281,1081,,,,,,,,,
570,Bruno Fernando,C,TOR,28.0,243,1095,,,,,,,,,
571,Aleksej Pokuševski,PF/C,FA,24.7,754,567,,,,,,,,,
573,Monte Morris,PG,IND,31.2,582,871,0.350,0.500,0.3,3.0,1.2,1.5,0.2,0.2,0.3
574,Lonnie Walker IV,SG/SF,DEN,27.7,749,569,,,,,,,,,
575,Cam Reddish,SG/SF,LAL,27.0,681,616,,,,,,,,,
576,Jericho Sims,C,MIL,27.9,697,596,0.784,0.620,0.0,5.0,5.5,1.6,0.3,0.3,1.1
577,Shake Milton,PG/SG,LAL,29.9,758,559,,,,,,,,,
578,James Nnaji,C,FA,22.1,478,980,,,,,,,,,
579,Kobe Brown,PF/C,IND,26.7,737,575,0.469,0.797,0.9,5.8,3.0,1.3,0.4,0.2,0.9
580,Malachi Flynn,PG,SA,28.3,372,1023,,,,,,,,,
581,James Bouknight,SG,FA,26.0,496,966,,,,,,,,,
582,JT Thor,PF,WAS,24.0,687,605,,,,,,,,,
583,Colby Jones,SG/SF,DET,24.3,705,588,0.333,0.000,0.0,2.0,4.0,2.0,0.0,0.0,0.0
584,Sidy Cissoko,SF/PF,POR,22.4,763,539,0.398,0.659,0.8,5.1,2.2,1.5,0.7,0.3,0.9
585,Kobi Simmons,PG,FA,29.2,270,1086,,,,,,,,,
586,Joshua Primo,SG,FA,23.7,363,1026,,,,,,,,,
587,Dalen Terry,SG/SF,PHI,24.1,665,652,0.439,0.533,0.5,3.7,1.8,1.4,0.6,0.3,0.5
588,Mason Plumlee,C,SA,36.5,708,587,0.786,0.643,0.0,1.6,2.7,1.0,0.5,0.0,0.6
589,Jalen Pickett,PG/SG,LAC,26.9,746,572,0.422,0.789,1.0,5.2,2.3,2.3,0.3,0.1,0.7
590,Rayan Rupert,PG/SG,PHI,22.3,675,626,0.393,0.778,0.7,5.2,2.9,1.1,0.9,0.1,0.9
591,Kyle Lowry,PG,PHI,40.4,702,589,0.160,0.833,0.3,1.2,0.6,0.8,0.1,0.1,0.3
592,Kira Lewis Jr,PG/SG,FA,25.4,731,578,,,,,,,,,
593,Ricky Council IV,SG/SF,BKN,25.1,437,999,,,,,,,,,
594,Orlando Robinson,C,ORL,26.1,756,567,0.600,0.000,0.3,1.8,1.0,0.8,0.3,0.0,0.0
595,Kenneth Lofton Jr.,PF/C,CHI,24.1,716,585,,,,,,,,,
596,Usman Garuba,PF/C,FA,25.5,435,1001,,,,,,,,,
597,Keita Bates-Diop,SF/PF,NY,30.6,691,602,,,,,,,,,
598,Saben Lee,PG,FA,27.2,298,1072,,,,,,,,,
599,Patrick Baldwin Jr.,PF,SAC,23.8,719,583,0.407,0.714,0.7,3.7,2.6,0.6,0.3,0.6,0.6
600,Admiral Schofield,SF/PF,FA,29.4,703,589,,,,,,,,,
601,Dennis Smith Jr.,PG,FA,28.8,692,601,,,,,,,,,
602,Hamidou Diallo,SG,FA,28.1,374,1022,,,,,,,,,
603,Cedi Osman,SF/PF,FA,31.4,750,569,,,,,,,,,
604,Jordan McLaughlin,PG/SG,SA,30.4,757,561,0.418,0.857,0.4,2.0,0.7,0.9,0.5,0.0,0.3
605,Chris Boucher,PF/C,UTA,33.6,531,916,0.320,0.750,0.2,2.3,2.0,0.3,0.6,0.7,0.1
606,Wesley Matthews,SG,FA,39.9,701,590,,,,,,,,,
607,Oshae Brissett,SF/PF,PHI,28.2,395,1013,,,,,,,,,
608,Ishmail Wainright,SF/PF,FA,32.0,723,581,,,,,,,,,
609,Aleksandar Vezenkov,SF/PF,FA,31.1,747,571,,,,,,,,,
610,TyTy Washington Jr.,PG,LAC,24.8,721,583,0.474,0.000,0.2,1.3,0.4,1.1,0.4,0.2,0.2
611,Taj Gibson,PF/C,MEM,41.2,598,844,0.462,0.875,0.3,3.4,2.7,0.6,0.2,0.1,0.1
612,Victor Oladipo,PG/SG,FA,34.3,238,1097,,,,,,,,,
613,Kevin Knox II,SF/PF,GS,27.1,311,1064,,,,,,,,,
614,Micah Potter,PF/C,POR,28.4,,,0.515,0.842,1.5,9.7,5.0,1.5,0.5,0.3,1.0
615,Danilo Gallinari,SF,FA,38.1,456,989,,,,,,,,,
616,Torrey Craig,SF/PF,BOS,35.7,608,835,,,,,,,,,
617,JD Davison,PG/SG,HOU,23.9,584,867,0.375,0.684,0.3,2.5,1.2,1.3,0.2,0.2,0.3
618,A.J. Lawson,SG/SF,TOR,26.1,552,893,0.436,0.778,0.8,4.2,1.8,0.3,0.5,0.2,0.3
619,Nassir Little,SF/PF,MIA,26.6,752,568,,,,,,,,,
620,Kevon Harris,SG,HOU,29.2,379,1021,,,,,,,,,
621,Jordan Nwora,SF/PF,FA,28.0,212,1106,,,,,,,,,
622,Terry Taylor,PF,SAC,26.9,,,,,,,,,,,
623,Isaiah Roby,PF/C,FA,28.6,312,1064,,,,,,,,,
624,Yuta Watanabe,SF/PF,FA,31.9,700,592,,,,,,,,,
625,Davis Bertans,PF/C,FA,33.8,503,956,,,,,,,,,
626,Danuel House Jr.,SF,FA,33.2,451,992,,,,,,,,,
627,Damion Lee,SG/SF,PHO,33.9,622,806,,,,,,,,,
628,Josh Christopher,PG/SG,MIA,24.7,332,1047,,,,,,,,,
629,Joe Harris,SG/SF,FA,35.0,297,1073,,,,,,,,,
630,Kevin Love,PF/C,UTA,38.0,534,913,0.397,0.841,1.4,6.7,5.8,1.8,0.4,0.2,0.8
631,Chuma Okeke,PF,CLE,28.0,585,866,,,,,,,,,
632,Anthony Gill,PF,WAS,33.9,764,531,0.628,0.739,0.3,5.8,2.9,1.3,0.6,0.4,0.7
633,Braxton Key,SF/PF,GS,29.5,200,1108,,,,,,,,,
634,Kessler Edwards,PF/C,DEN,26.1,762,541,,,,,,,,,
635,Olivier Sarr,C,CLE,27.5,,,0.714,0.400,0.5,3.5,2.8,1.3,0.5,0.8,0.5
636,Thanasis Antetokounmpo,PF,MIL,34.1,231,1101,0.469,0.567,0.0,1.4,0.9,0.4,0.4,0.2,0.3
637,Isaiah Mobley,SF/PF,FA,26.9,720,583,,,,,,,,,
638,Marcus Morris Sr.,PF/C,NY,37.0,736,575,,,,,,,,,
639,Cory Joseph,PG,ORL,35.0,599,844,,,,,,,,,
640,Aaron Holiday,PG/SG,HOU,29.9,543,900,0.417,0.854,1.2,5.5,1.0,1.1,0.5,0.1,0.7
641,Justin Holiday,SG/SF,FA,37.4,342,1041,,,,,,,,,
642,Jeff Green,PF,HOU,40.0,589,863,0.368,1.000,0.4,2.2,0.8,0.3,0.1,0.1,0.1
643,Wenyen Gabriel,PF/C,FA,29.4,,,,,,,,,,,
644,Cody Zeller,C,HOU,33.9,532,915,,,,,,,,,
645,Joe Ingles,SF,MIN,38.9,564,883,0.593,1.000,0.3,1.5,0.7,1.3,0.3,0.1,0.5
646,Robin Lopez,C,FA,38.4,191,1112,,,,,,,,,
647,Alex Len,C,LAL,33.2,560,885,,,,,,,,,
648,Jack McVeigh,,HOU,30.2,507,951,,,,,,,,,
649,Troy Brown Jr.,SF/PF,FA,27.1,,,,,,,,,,,
650,Evan Fournier,SG/SF,FA,33.8,439,999,,,,,,,,,
651,Garrison Mathews,SG/SF,ATL,29.9,610,834,0.404,0.826,1.1,5.2,1.1,0.7,0.4,0.2,0.2
652,Damian Jones,C,FA,31.2,438,999,,,,,,,,,
653,Hunter Tyson,SF/PF,BKN,26.2,380,1019,0.269,0.846,0.3,2.2,1.7,0.8,0.1,0.0,0.2
654,Khem Birch,C,FA,33.9,224,1103,,,,,,,,,
655,Darius Bazley,PF,FA,26.2,299,1072,,,,,,,,,
656,P.J. Tucker,PF,NY,41.3,601,842,,,,,,,,,
657,Furkan Korkmaz,SG/SF,FA,29.1,325,1054,,,,,,,,,
659,Duane Washington Jr.,SG,FA,26.4,443,997,,,,,,,,,
660,R.J. Hampton,PG/SG,FA,25.6,318,1060,,,,,,,,,
661,Ibou Badji,C,MIL,23.9,,,,,,,,,,,
662,Patty Mills,PG,LAC,38.1,,,,,,,,,,,
663,Otto Porter Jr.,SG/SF,FA,33.2,295,1074,,,,,,,,,
664,Montrezl Harrell,C,FA,32.6,315,1061,,,,,,,,,
665,JaVale McGee,C,FA,38.6,500,964,,,,,,,,,
666,Theo Maledon,PG,FA,25.2,197,1110,,,,,,,,,
667,Isaiah Todd,PF/C,FA,24.9,293,1075,,,,,,,,,
668,Derrick Rose,PG,MEM,37.9,590,858,,,,,,,,,
669,Udoka Azubuike,C,FA,27.0,483,976,,,,,,,,,
670,Reggie Bullock,SF/PF,FA,35.5,459,988,,,,,,,,,
671,Vlatko Cancar,PF/C,DEN,29.4,569,879,,,,,,,,,
672,PJ Dozier,SG,MIN,29.9,545,899,,,,,,,,,
673,Malcolm Hill,,NO,30.9,300,1072,,,,,,,,,
674,Mason Jones,SG/SF,SAC,28.1,352,1036,,,,,,,,,
675,DJ Steward,,CHI,24.9,218,1105,,,,,,,,,
676,D.J. Carton,,TOR,26.1,306,1068,,,,,,,,,
677,David Duke Jr.,,SA,26.9,335,1045,,,,,,,,,
678,Keaton Wallace,PG/SG,ATL,27.5,493,967,0.398,0.667,0.7,3.5,1.1,1.8,0.5,0.1,0.5
679,Jeff Dowtin Jr.,PG/SG,PHI,29.3,219,1104,,,,,,,,,
680,Jermaine Samuels Jr.,,HOU,27.8,423,1005,,,,,,,,,
681,Quenton Jackson,PG/SG,IND,28.0,,,0.470,0.824,0.9,9.1,2.3,2.9,0.6,0.1,1.3
682,Daeqwon Plowden,SF/PF,SAC,28.0,193,1111,0.430,0.857,1.9,10.8,3.0,1.3,0.7,0.2,0.8
683,Alex O'Connell,,NY,27.3,328,1051,,,,,,,,,
684,Jaylen Clark,SG/SF,MIN,24.9,,,0.436,0.657,0.5,4.0,1.8,0.6,0.7,0.1,0.3
685,Colin Castleton,PF/C,ORL,26.3,282,1081,0.400,1.000,0.0,1.3,2.0,0.3,0.3,0.0,0.5
686,Alex Fudge,,DAL,23.3,405,1009,,,,,,,,,
687,Jaylen Martin,,WAS,22.6,269,1087,,,,,,,,,
688,Jacob Toppin,,ATL,26.3,313,1064,0.667,0.000,0.0,1.6,0.4,0.2,0.0,0.2,0.0
689,Drew Peterson,,CHA,26.8,210,1106,0.125,0.500,0.0,0.8,1.5,0.3,0.5,0.2,0.0
690,Jazian Gortman,,DAL,23.4,258,1090,,,,,,,,,
691,Adam Flagler,,SAC,26.8,353,1035,,,,,,,,,
692,Oscar Tshiebwe,PF/C,HOU,26.8,259,1089,0.634,0.551,0.0,7.8,6.6,1.2,0.6,0.2,0.8
693,Taevion Kinsey,,UTA,26.5,,,,,,,,,,,
694,Leaky Black,SF/PF,WAS,27.2,208,1107,0.388,0.875,1.3,7.1,5.0,1.5,1.2,0.5,0.9
695,Onuralp Bitim,,CHI,27.4,,,,,,,,,,,
696,Jaylin Galloway,,MIL,23.7,241,1095,,,,,,,,,
697,Justin Edwards,SF/PF,PHI,22.7,349,1037,0.447,0.846,1.1,6.0,1.5,1.3,0.8,0.2,0.6
698,Antonio Reeves,SG/SF,CHA,25.8,266,1089,0.500,0.000,0.7,2.7,0.8,0.3,0.1,0.0,0.1
699,Harrison Ingram,SF,UTA,23.8,,,0.833,0.000,0.1,1.6,0.4,0.1,0.0,0.0,0.1
700,Melvin Ajinca,SF,DAL,22.2,384,1018,,,,,,,,,
701,Anton Watson,,NY,25.9,308,1067,,,,,,,,,
702,N'Faly Dante,C,ATL,24.9,412,1008,0.250,1.000,0.0,0.8,1.8,0.0,0.5,0.0,0.3
703,Isaiah Crawford,,HOU,24.8,314,1062,0.417,0.833,0.2,2.0,1.1,0.4,0.1,0.2,0.3
704,Armel Traore,,LAL,23.6,489,971,,,,,,,,,
705,Reece Beekman,PG,BKN,24.9,309,1065,,,,,,,,,
706,Blake Hinson,,UTA,26.7,284,1080,0.513,0.750,2.6,11.9,2.4,1.1,0.4,0.1,0.4
707,Isaac Jones,PF/C,DET,26.1,,,0.429,0.750,0.0,1.3,0.7,0.1,0.0,0.1,0.1
708,Trentyn Flowers,,CHI,21.5,454,990,0.667,0.000,0.0,2.0,0.5,0.5,0.0,0.0,0.5
709,Branden Carlson,C,POR,27.2,253,1092,0.527,0.577,0.7,5.8,3.0,0.7,0.2,0.6,0.4
710,Alex Ducas,,OKC,25.7,316,1061,,,,,,,,,
711,Jaylin Williams,,DEN,26.1,268,1087,,,,,,,,,
712,Xavier Johnson,,DAL,26.5,360,1028,,,,,,,,,
713,Tyler Wahl,,MIN,25.5,361,1028,,,,,,,,,
714,Quincy Guerrier,,TOR,27.3,404,1009,,,,,,,,,
715,Quincy Olivari,,LAL,25.3,,,,,,,,,,,
716,Max Fiedler,,PHI,25.5,260,1089,,,,,,,,,
717,KJ Jones II,,BKN,26.4,442,998,,,,,,,,,
718,Malevy Leons,,GS,26.9,368,1024,0.444,0.789,0.2,3.3,2.1,0.9,0.6,0.3,0.5
719,Mark Armstrong,,BKN,22.5,421,1006,,,,,,,,,
720,Josh Oduro,,NO,25.9,234,1099,0.647,0.500,0.0,8.3,7.7,1.3,0.0,0.0,0.7
721,Jamison Battle,,TOR,25.3,267,1088,0.510,0.643,0.6,3.1,1.5,0.4,0.1,0.0,0.3
722,Max Abmas,,UTA,25.4,452,992,,,,,,,,,
723,Boogie Ellis,,SAC,25.7,620,817,,,,,,,,,
724,Jacky Cui,,BKN,23.3,525,933,,,,,,,,,
725,Boo Buie,,NY,26.7,343,1041,,,,,,,,,
726,Tyrese Samuel,,PHO,26.5,458,989,,,,,,,,,
727,Tristan Enaruna,,CLE,25.2,291,1076,0.500,0.750,0.3,4.1,1.6,0.8,0.6,0.0,0.3
728,Armando Bacot,,MEM,26.5,399,1011,,,,,,,,,
729,Marcus Domask,,CHI,26.2,398,1012,,,,,,,,,
730,Sean East II,,LAL,26.8,,,,,,,,,,,
731,Jahmir Young,,MIA,26.1,476,983,0.400,1.000,0.2,1.8,0.3,0.6,0.1,0.0,0.2
732,Gabe McGlothan,,DEN,27.5,204,1108,,,,,,,,,
733,Josiah-Jordan James,,IND,26.0,520,941,,,,,,,,,
734,Isaiah Stevens,PG,SAC,25.8,322,1057,0.429,1.000,0.0,3.3,1.0,3.3,1.7,0.0,0.7
735,Aaron Estrada,,DET,25.6,447,995,,,,,,,,,
736,Emanuel Miller,,SA,26.2,378,1021,0.462,0.500,0.4,3.0,0.6,0.8,0.4,0.0,0.0
737,Keisei Tominaga,,IND,25.6,495,966,,,,,,,,,
738,Samkelo Cele,,NY,28.7,422,1006,,,,,,,,,
739,Thaddeus Young,PF/C,FA,38.2,410,1008,,,,,,,,,
740,Mike Muscala,PF/C,FA,35.2,683,613,,,,,,,,,
741,Dylan Windler,SF,FA,29.9,386,1017,,,,,,,,,
742,Moses Brown,C,DAL,26.9,,,,,,,,,,,
743,Jae Crowder,SF/PF,SAC,36.2,359,1029,,,,,,,,,
744,Danny Green,SG,FA,39.2,449,993,,,,,,,,,
745,Frank Ntilikina,PG,FA,28.1,521,940,,,,,,,,,
746,Garrett Temple,PG/SG,TOR,40.3,550,895,0.267,0.667,0.1,0.8,0.4,0.4,0.2,0.1,0.3
747,Nate Hinton,SG/SF,HOU,27.2,257,1090,,,,,,,,,
748,Mamadi Diakite,PF,PHO,29.6,402,1011,,,,,,,,,
749,Jason Preston,PG,UTA,27.1,522,939,,,,,,,,,
750,Eugene Omoruyi,SF/PF,MIN,29.5,390,1016,,,,,,,,,
751,Daishen Nix,PG,SAC,24.6,519,941,,,,,,,,,
752,Lindy Waters III,SG/SF,SA,29.1,407,1009,0.375,0.667,0.7,2.4,0.7,0.5,0.2,0.0,0.2
753,Matt Ryan,SF,NY,29.4,554,891,,,,,,,,,
754,EJ Liddell,PF/C,BKN,25.7,581,871,0.486,0.808,0.7,5.7,2.7,0.9,0.2,0.4,0.6
755,Kendall Brown,SF,IND,23.3,461,988,,,,,,,,,
756,Buddy Boeheim,SF,OKC,26.8,565,883,0.333,0.000,0.5,1.5,0.0,0.0,0.0,0.0,0.0
757,Alondes Williams,SG,WAS,27.2,502,957,0.615,0.875,1.3,11.0,6.3,3.0,0.8,0.8,1.3
758,Cole Swider,PF,DET,27.3,468,986,,,,,,,,,
759,Stanley Umude,SF,SA,27.4,464,987,0.500,0.000,0.0,1.0,0.0,0.5,0.5,0.0,0.0
760,Jamal Cain,SG/SF,ORL,27.5,533,915,0.487,0.848,0.7,5.4,2.0,0.7,0.3,0.1,0.5
761,Nate Williams,SG/SF,GS,27.6,417,1007,0.489,0.867,0.9,8.0,2.1,1.0,0.4,0.0,1.1
762,Justin Minaya,SG/SF,POR,27.4,255,1091,,,,,,,,,
763,Julian Phillips,SF/PF,HOU,22.8,396,1013,0.421,0.783,0.4,2.9,1.0,0.2,0.5,0.1,0.2
764,Maxwell Lewis,SG/SF,BKN,24.1,555,889,,,,,,,,,
765,Seth Lundy,SF,LAC,26.4,432,1002,,,,,,,,,
766,Chris Livingston,SF,CLE,22.9,215,1105,0.571,1.000,0.0,3.0,1.0,0.3,0.3,0.0,0.0
767,Adama Sanogo,C,CHI,24.6,527,929,,,,,,,,,
768,Tristan Thompson,C,CLE,35.5,242,1095,,,,,,,,,
770,James Johnson,PF,IND,39.5,385,1018,,,,,,,,,
