rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
386,Jock Landale,C,ATL,30.9,704,589,0.515,0.635,1.1,10.6,5.7,1.7,0.5,0.5,0.9
387,Tristan Vukcevic,PF/C,WAS,23.5,272,1084,0.479,0.784,1.0,9.0,3.0,1.1,0.5,0.7,1.3
388,Kris Murray,SF/PF,MEM,26.0,651,707,0.467,0.684,0.6,5.8,3.6,1.4,0.9,0.4,0.8
389,Luka Garza,C,BOS,27.7,616,825,0.577,0.769,0.8,8.1,4.1,1.0,0.4,0.4,0.7
390,Trayce Jackson-Davis,C,TOR,26.5,491,970,0.577,0.514,0.0,3.4,2.7,0.7,0.3,0.5,0.4
391,Josh Green,SG/SF,MIN,25.8,508,951,0.459,0.893,1.0,4.3,1.8,0.8,0.6,0.1,0.6
392,Noah Penda,SF,ORL,21.7,414,1007,0.404,0.688,0.5,3.8,3.2,1.2,0.5,0.3,0.7
393,Chaz Lanier,SG,DET,24.7,413,1008,0.315,0.833,0.6,2.4,0.7,0.5,0.2,0.0,0.1
394,Liam McNeeley,SF,CHA,20.9,319,1060,0.400,0.821,0.8,4.3,2.4,0.8,0.2,0.1,0.4
395,Thomas Bryant,C,CLE,29.1,685,609,0.506,0.803,0.8,6.2,3.4,0.6,0.3,0.5,0.5
396,Bennett Stirtz,PG/SG,OKC,22.9,263,1089,,,,,,,,,
397,Chris Cenac Jr.,PF/C,BOS,19.6,320,1060,,,,,,,,,
398,Malique Lewis,PF,MIL,21.8,321,1058,,,,,,,,,
399,Felix Okpara,PF,WAS,22.4,276,1083,,,,,,,,,
400,Tobi Lawal,PF,DAL,23.3,475,983,,,,,,,,,
401,Michael Ajayi,SF,CHA,23.3,366,1025,,,,,,,,,
402,Vsevolod Ishchenko,PG,DAL,21.6,344,1041,,,,,,,,,
403,Meleek Thomas,SG,CLE,20.1,367,1025,,,,,,,,,
404,Dillon Mitchell,PF,BOS,22.9,376,1022,,,,,,,,,
405,Nick Boyd,PG,GS,25.4,506,955,,,,,,,,,
406,Tyler Nickel,SF,NY,23.0,446,996,,,,,,,,,
407,Jack Kayil,SG,NY,20.6,415,1007,,,,,,,,,
408,Aaron Nkrumah,SG,DEN,24.8,392,1015,,,,,,,,,
409,Ben Simmons,PG/C,LAC,30.1,663,669,,,,,,,,,
410,Jonathan Mogbo,PF/C,SAC,24.8,397,1013,0.591,0.643,0.0,1.5,1.7,0.6,0.3,0.2,0.4
411,Bogdan Bogdanovic,SG/SF,HOU,34.0,524,934,0.388,0.800,1.4,7.4,2.6,2.2,0.4,0.1,1.2
412,Andre Jackson Jr.,SG/SF,TOR,24.8,698,595,0.328,0.625,0.3,2.4,1.5,0.9,0.4,0.1,0.6
413,Alijah Martin,SG,TOR,24.7,394,1014,0.320,0.789,0.2,2.2,0.9,0.5,0.3,0.2,0.3
414,Johni Broome,C,LAC,24.1,351,1037,0.167,0.333,0.0,0.9,1.5,0.4,0.3,0.2,0.3
415,Adou Thiero,SF,LAL,22.3,466,987,0.516,0.636,0.0,1.9,1.1,0.4,0.3,0.1,0.4
416,Chaz Lanier,SG,DET,24.7,413,1008,0.315,0.833,0.6,2.4,0.7,0.5,0.2,0.0,0.1
417,Chris Youngblood,SG,POR,24.6,296,1074,0.349,0.900,0.5,2.1,0.8,0.4,0.1,0.1,0.1
418,Ron Harper Jr.,SF,BOS,26.4,271,1084,0.418,0.750,1.0,4.2,1.7,0.8,0.3,0.3,0.3
419,Kelly Olynyk,PF/C,SA,35.4,671,630,0.490,0.711,0.3,3.2,1.9,1.2,0.4,0.1,0.6
420,Koby Brea,SG,PHO,23.8,488,972,0.417,1.000,1.1,3.8,0.7,0.8,0.1,0.0,0.3
421,Jarred Vanderbilt,PF/C,LAL,27.4,652,707,0.471,0.589,0.5,4.4,4.5,1.3,0.8,0.3,0.9
422,Nick Richards,C,CHI,28.8,539,903,0.512,0.644,0.1,5.9,5.2,0.3,0.2,0.7,1.3
423,Jonas Valanciunas,C,DEN,34.3,624,805,0.582,0.772,0.1,8.7,5.1,1.2,0.2,0.6,1.1
424,Brandon Boston Jr,SF/PF,NO,24.8,232,1100,,,,,,,,,
425,Jalen Wilson,SF/PF,ATL,25.8,505,955,0.396,0.719,1.0,6.4,2.1,0.9,0.4,0.0,0.7
426,AJ Johnson,PG/SG,MEM,23.8,236,1098,0.324,0.850,0.3,3.3,1.1,1.0,0.2,0.1,0.6
427,Wendell Moore Jr.,SF,DET,25.0,341,1041,0.571,1.000,0.0,1.7,0.8,0.7,0.3,0.3,0.2
428,Nikola Djurisic,SF,ATL,22.5,364,1026,,,,,,,,,
429,Jared Butler,PG/SG,PHO,26.0,463,987,,,,,,,,,
430,Ochai Agbaji,SG/SF,BKN,26.4,667,649,0.436,0.837,0.6,5.1,2.3,0.8,0.4,0.3,0.5
431,Jaden Ivey,PG/SG,CHI,24.6,256,1091,0.445,0.809,1.4,8.5,2.5,1.8,0.6,0.4,1.1
432,Taurean Prince,SF,DET,32.4,568,879,0.450,1.000,2.4,9.2,3.1,1.8,0.6,0.2,1.2
433,Clint Capela,C,HOU,32.3,455,990,0.520,0.577,0.0,3.8,4.6,0.7,0.5,0.8,0.5
434,Bol Bol,PF/C,PHO,26.8,733,576,,,,,,,,,
435,Tidjane Salaun,PF,CHA,21.1,408,1009,0.503,0.650,1.0,6.0,4.0,0.8,0.4,0.2,0.7
436,Caleb Martin,SF/PF,DAL,30.9,600,844,0.450,0.607,0.3,3.9,2.5,1.4,0.7,0.3,0.7
437,Richaun Holmes,C,WAS,32.9,741,574,,,,,,,,,
438,Jett Howard,SF,DAL,23.0,661,674,0.420,0.949,1.0,5.5,1.6,0.8,0.2,0.2,0.3
439,Dalano Banton,SG/SF,BOS,26.8,592,857,0.333,1.000,0.0,2.0,0.8,1.8,0.3,0.8,1.3
